date,company,state,zip,product,sub_product,issue,sub_issue,consumer_complaint,company_response,tags,submitted_via,company_response_to_consumer,timely_response,consumer_disputed,ID
8/1/14,OCWEN LOAN SERVICING LLC,CA,92562,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,,Web,Closed with explanation,Yes,No,964734
5/17/12,"BANK OF AMERICA, NATIONAL ASSOCIATION",CO,80022,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,,Referral,Closed with non-monetary relief,No,No,80993
1/26/17,"Navient Solutions, LLC.",PA,19010,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,,,Older American,Web,Closed with explanation,Yes,No,2312366
2/11/17,"I.Q. DATA INTERNATIONAL, INC.",WA,98021,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,,Web,Closed with explanation,Yes,No,2340023
10/24/15,SOUTHERN MANAGEMENT CORP.,TN,374XX,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,"I fell behind paying a loan. Called and informed them of the reason. Directly after this, I received phone calls and voicemails repeatedly, on my cell and a work. Also correspondences mailed to my job, placed on my door where I live. Even after I asked them not to do this all my request have been ignored. I also informed them they were harassing me and was against the law, they continue. I 'm stressed enough and also under bankruptcy.",,,Web,Closed with monetary relief,Yes,No,1623304
5/27/16,"CITIBANK, N.A.",MN,55779,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1944858
1/13/13,OCWEN LOAN SERVICING LLC,CA,95946,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,Yes,No,229772
3/3/16,"National Credit Systems,Inc.",TX,787XX,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"-That was on or about XXXX/XXXX/XXXX, I sent a debt validation to National Credit Systems , Inc XXXX '' NCS '', in response to its letter dated XXXX XXXX, XXXX to dispute the alleged account, which is not mine. I gave NCS sixty ( 60 ) day right to cure my",Company believes it acted appropriately as authorized by contract or law,,Web,Closed with explanation,Yes,Yes,1813488
8/15/16,"CITIBANK, N.A.",OH,45218,Credit card,,Customer service / Customer relations,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Referral,Closed with explanation,Yes,No,2064766
11/23/15,ALLY FINANCIAL INC.,NY,145XX,Consumer Loan,Vehicle lease,Taking out the loan or lease,,"My father had a car lease through Ally bank. 
He expired on XXXX/XXXX/15 - approximately 20 months prior to the end of his lease. 
He paid his XXXX lease payment. 
I am his son and co-executor of his will. 
I contacted Ally bank in the days after his death and was instructed to FAX his death certificate and proof of executorship, which I did. 
After confirming receipt of these documents Ally stated that further payments would not be automatically withdrawn from my father 's accounts. 
I returned the car to the dealership, returned the plates to the DMV, and contacted the auto insurance company. 
I have since received notice that I owe {$8800.00} to Ally. They have explained this as the difference between their estimated value of the car and what they received for it at auction. 
I do not have a copy of the lease contact. 
I was not informed by Ally when I initially contacted them that I would be responsible for this sum. I was not informed that I may want to keep the vehicle, pay the lease payments ( which would have totaled about {$10000.00} over the remaining 20 months of the lease ). 
If I was aware of this I would have kept the car, made the lease payments and driven it through the lease period. 
Now the bank gets just about the entire term of the lease paid to them but was able to repossess and then sell the vehicle at a much higher residual value than it would have had had it been returned to them at the end of the original lease period. I could have spent just a little more money over the next 20 months and had the car. Instead the bank has the car and I have to spend almost the same amount of money.",Company chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1667876
